timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-05-24T11:50:04,codecarbon,32b5ff9d-57a4-4797-aacd-efad1f152f60,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.834393645999967,1.1967681908818248e-05,2.4755290497952e-06,10.500507654000002,23.880603549112102,20.0,1.2635393910240731e-05,3.2059747870000384e-05,2.406488067777812e-05,6.876002245801924e-05,0.0,Spain,ESP,,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.10.20,3.2.7,16,AMD Ryzen 7 5800X 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060,,,62.72061538696289,machine,0.0,15.0,10.1,6.31308110555013,N,1.0,0.0
2026-05-24T11:50:57,codecarbon,afb7d92f-49d4-4d0a-83d9-3ff1e2303ede,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.929857799000047,1.042052724909636e-05,2.113758180045278e-06,10.500177282000005,16.33751636233534,20.0,1.2912654225656575e-05,2.236446233599976e-05,2.4593766800000415e-05,5.987088336165675e-05,0.0,Spain,ESP,,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.10.20,3.2.7,16,AMD Ryzen 7 5800X 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060,,,62.72061538696289,machine,0.0,0.3333333333333333,10.0,6.253849029541016,N,1.0,0.0
2026-05-24T11:55:48,codecarbon,2d0b16f0-3c4f-4c2a-be0e-57cf24452fb5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.746250448999945,1.1949425682951782e-05,2.517655949965636e-06,10.541666254875,24.78002178200107,20.0,1.242600076404448e-05,3.2655581679999664e-05,2.3573549316667036e-05,6.865513176071119e-05,0.0,Spain,ESP,,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.10.20,3.2.7,16,AMD Ryzen 7 5800X 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060,,,62.72061538696289,machine,0.0,11.666666666666666,10.433333333333334,6.548678080240886,N,1.0,0.0
